imdb_votes,tmdb_popularity
4570,15.967
129,1.132
579,68.219
247229,95.229
4185,114.679
348,50.9
218,2.641
704,1.634
650,2.258
784,2.345
3819,8.216
19,2.085
34423,5.553
40888,138.626
593,1.084
2191,2.288
17024,22.238
23541,5.319
18466,7.257
16133,13.117
4120,5.314
1703,11.362
182,10.146
14782,21.417
37747,12.512
1610,16.4
8,1.536
54001,8.213
132821,10.97
128190,11.48
91,0.679
250,1.618
1827,5.019
7090,9.482
125098,27.533
118815,30.617
14040,21.349
1189,2.131
6254,9.569
13708,11.599
614,20.009
4465,9.533
12035,7.7
1517,4.269
677,2.209
7577,6.231
153,15.291
4219,13.649
37778,19.134
182612,76.506
217534,16.583
247,1.802
2160,7.114
17716,8.348
618,3.175
19728,18.56
837,2.215
2464,1.762
172,2.547
193053,15.067
62,2.942
249,4.753
7120,5.727
14916,6.095
25771,13.416
2673,3.347
419,16.035
7183,8.147
743,4.613
493,1.291
3150,14.069
572,38.749
4934,4.389
7578,14.485
1910,1.792
415,2.379
19936,10.044
23474,82.882
2735,6.878
1618,28.193
14608,26.706
1540,5.733
445,1.4
132,10.43
3106,16.211
15743,68.46
28978,926.362
1349,14.073
1249,1.713
4921,5.31
4384,3.732
193,6.837
234,13.453
20,4.135
599,22.957
36361,12.634
16610,19.161
224900,27.45
22107,218.433
4230,2.239
119,7.574
1033,8.244
538,8.788
20377,14.663
2127,15.225
1972,6.254
39590,52.542
2089,5.595
5245,121.52
586679,29.436
3665,28.219
63,0.642
48,1.879
219,4.003
130,0.923
657,12.8
5943,11.526
641,14.155
4312,5.202
3139,20.281
2759,3.979
1561,26.578
1952,31.411
396,4.613
636,4.243
277,3.884
798,5.713
563,4.97
487,5.314
1513,2.055
6,0.6
7733,14.827
7154,20.952
984,7.659
2575,42.457
24,0.68
28370,8.364
81,3.202
10162,32.606
2146,166.39
40703,10.655
8550,0.6
5772,5.002
38870,37.556
1675,2.383
4031,8.161
4776,1.4
8367,1.4
4241,3.807
2416,9.305
1113,14.897
36500,13.295
61924,17.732
291,6.128
2705,12.387
1134,5.085
15053,10.253
564,7.9
130099,24.125
35067,15.085
3986,10.419
26,2.307
1603,9.971
100705,37.237
31620,16.72
841,2.721
16320,92.767
13670,13.653
603,7.217
7013,12.239
9987,34.738
994,2.681
2632,45.357
154,9.388
2609,3.088
1503,642.372
758,2.663
6,3.24
25,2.708
33734,12.008
229,2.479
912,2.273
47,1.948
4836,58.017
826,5.541
616,1.662
17447,44.727
2168,11.357
2450,7.119
7832,34.492
694,24.098
1633,4.028
494092,46.137
9504,12.606
49599,11.864
1097,17.937
5047,112.094
2152,33.992
51513,28.552
488,2.1
145,0.969
1076,9.653
8041,13.37
3232,2.716
146712,59.834
1972,9.983
30734,73.548
172,1.155
719717,71.782
327565,68.926
47588,13.584
2809,4.471
20986,6.655
8454,4.91
1541,4.784
4761,37.594
697,1.4
12757,7.415
125720,12.868
43,1.267
87857,117.924
6199,5.296
5031,4.02
297,3.726
278,2.517
123667,12.617
765,4.669
7665,7.365
1104,10.234
2860,1.4
14887,99.758
5704,62.514
2729,142.386
5598,11.939
4166,3.187
5495,8.06
87891,18.208
56459,31.121
21632,11.41
14146,19.204
149082,18.529
3048,14.274
2205,5.917
3937,6.502
14491,9.791
1785,5.671
128172,33.554
55549,8.397
7994,6.08
560,15.664
204,5.429
142696,18.102
31531,10.503
983,3.857
243,1.758
24,1.083
146625,46.06
73269,17.756
11411,21.408
865,4.098
1358,5.041
1387,1.022
108,2.38
7727,17.023
79921,18.733
80733,16.066
493,3.708
320,2.72
123,0.6
33724,20.028
17194,11.273
29,0.649
48672,13.434
240433,16.442
2283,10.462
1285,4.268
108,1.035
2865,4.549
4033,5.896
2572,4.925
1664,4.784
5073,16.359
196,1.93
1096,9.017
3087,13.668
4452,7.323
13238,19.835
13098,14.629
200,2.768
3106,9.002
2325,20.092
34,1.214
124,2.31
145,1.548
18452,18.124
1394,65.43
6663,10.393
48,0.675
10927,20.694
23297,6.596
101939,15.02
4256,9.415
49894,23.345
54391,17.631
108,9.281
12918,14.776
2268288,109.09
1883,10.121
2105,6.206
3049,3.185
6075,1.445
3052,24.784
1717,18.773
8536,15.248
3874,23.186
2565,3.296
17727,10.828
27275,96.678
10776,7.648
15137,40.604
3927,14.613
42,2.189
986,1.185
2747,3.8
609,6.359
167549,52.127
614,9.398
534,12.57
1482,1.47
1356,14.763
1152,10.782
595,1.543
45628,20.79
1313,6.735
8512,15.949
30746,28.712
611379,15.658
749,31.864
15464,69.688
2613,13.733
15823,149.742
2127,31.534
2206,38.412
1826,37.944
2570,29.842
5656,14.179
54105,126.677
763,12.419
18,10.616
221095,20.113
103673,3.156
54128,33.711
30694,15.801
960,2.243
1951,9.565
1146,6.579
9442,18.453
3021,4.449
465,5.257
332,2.226
4203,1.569
10415,5.089
8221,18.018
306,2.468
233165,278.419
170,3.923
362,3.195
2886,4.064
21104,67.024
2284,7.713
12030,29.491
12095,7.49
105,1.837
111,3.946
404,7.92
1658,40.961
122,3.243
26738,9.183
20501,8.116
51945,10.991
2094,5.01
930,3.263
1468,4.944
5388,6.26
83727,43.997
92305,30.13
157,0.6
11596,12.484
10092,6.253
1718,45.098
935,2.996
1160,9.54
205,1.81
1445,8.859
3545,4.73
6165,4.266
30,0.933
46286,120.677
71,1.815
160,2.38
2922,9.134
889,16.368
3567,2.862
1073,3.865
3028,4.188
854,2.472
3984,4.891
1077,3.405
2272,3.707
1401,3.463
1274,1.748
713,3.278
614,2.907
374,3.418
422,2.195
23216,25.26
7804,11.088
1506,5.005
1281,3.985
1268,4.231
5643,7.723
5061,4.084
5834,5.834
973,10.978
1304,1.762
25593,10.938
3940,4.223
2381,4.898
1549,3.721
2548,6.123
2226,4.903
